제목,인원,참가비,기관명,세부정보,주소,위도,경도
바리스타 전문가(핸드드립),10,무료,문경시청소년문화의집,"(행복한 진로), 바리스타 전문가(핸드드립)",경상북도 문경시 모전동 77-13,36.591216,128.1870866
"전통장류, 과일와인, 과일 식초 만들기 체험",30,"20,000원",순조된장,장담기 메주의 발효원리 메주의 제조과정 장담기 과정 일전 메주세척 건조 일전 소금물 만들기 항아리 세척 및 소독 메주 염수 부재료 넣기 숯고추대추 참깨 등시간월김순조개인당된장 장가르기메주의 발효원리메주의 제조과정,경북 김천시 대항면 대성향천길 1087,36.0909961,128.0216987
"‘위대한 함성’ 청소년, 순국 선열의 함성을 외치다.(독립역사 교육)",20,무료,안동청소년문화센터,관내 독립문화활동지원 및 우리 지역의 독립역사를 서로 알아가고 청소년들의 독립운동문화 해설을 코드에 담아 시민들에게 전달할 수 있는 다양한 매개체를 제작하여 지역주민에게 안동독립운동가의 정신과 얼을 널리 알릴 수 있는 다채로운 프로그램이 진행된다,경상북도 안동시 태화동 628-9 안동 청소년 문화센터,36.56198,128.70906
<힐링통기타>,45,무료,영주시청소년문화의집,힐링통기타 힐링 통기타 초급 두드림북 두드림북,경상북도 영주시 영주동 22-3 영주청소년문화의집,36.82851,128.62089
1일 요리 체험반,1000,"20,000원",음식나라조리학원 죽도점,토마토해산물파스타 까르보나라스파게티새우볶음밥갈비찜바베큐폭찹보쌈김치비빔국수소떡소떡햄버거스테이크 함박스테이크에그치즈 샌드위치유부초밥치즈떡볶이탕수육맛탕쫄면수제비국수불고기전골 등 학생들이 선호하는 메뉴로 상의하여 선택프로그램,경북 포항시 북구 중흥로 325,36.0150961,129.3518948
"지역자원과 연계한 농촌체험- 관광지도만들기, 참외피클과 바베큐 팜파티, 피크닉 도시락 만들기",20,"70,000원",하하수미,우리지역의 자원에는 어떤 것들이 있는지를 이야기해보고 로봇인 오조봇과 함께 여행할 관광지도를 만들며 우리지역자원이 특징을 알아보는 시간을 갖습니다 성주의 특산물인 참외를 활용하는 식체험을 하며농산물을 활용하는 농촌체험을 경험하고농산물을 활용하는 식체험과 농촌관광과의 관계에 대해서도 알아보며농업관련 직업에 대해 공부해 봅니다,경북 성주군 월항면 대산2길 72,35.97119,128.3058
3D모델링 전문가 (중학생을 위한 미래신기출체험_3D모델링 체험),200,"14,000원",토라사이언스,프린팅 기술에 대한 이해를 높이고 활용방안을 살펴보며 차산업혁명시대 융합인재의 핵심역량을 강화시키는 창의융합프로그램 프린팅 기술을 활용한 다양한 직업에 대한 개념 이해 프린팅 기술을 활용한 청소년 사업가의 성공 스토리 프린트를 활용한 세계 청소년 사업가의 비하인드 스토리 프린트관련 직업을 위해 필요한 능력과 어떤 가치를 가지고 일하는지 들려줌 프린트속 직업 모델링 체험 을 활용한 기초 모델링 메이커작품 부품 모델링 프린트 출력물 기반 메이커작품 제작,경상북도 김천시 남면 섶밭길 166,36.1084915,128.1878133
3D아트(3D펜)(조형물 제작),999,"20,000원",교육사회적기업 포인트(경북북부센터),펜을 활용하여 조형물을 제작해본다사전 준비교육 조 편성주요내용도입체험 관련 안전 수칙 및 주의 사항 안내본활동 펜 정의 원리 이해하기 펜 기초 작동법 이해 및 그리기 기초 실습 기획서 작성 및 아이디어 발상 스케치 나만의 디자인 하기 펜을 이용한 조형물 제작 나만의 디자인 작품 제작 안경만들기 마무리품평회사후활동활동 소감문 작성 산업에 대해 알아보고 펜을 활용하여 나만의 조형물을 제작한다사전 준비교육 조 편성주요내용도입체험 관련 안전 수칙 및 주의 사항 안내본활동 펜의 정의 프린터의 원리 이해 펜 관련 정보 알아보기 기획서 작성 및 아이디어 발상 스케치 펜을 이용하여 나만의 조형물 제작 펜을 이용하여 에펠탑 또는 드림캐처 제작마무리품평회사후활동활동 소감문 작성프린트 산업과 관련 직업에 대해 이해하고 펜을 활용하여 조형물을 제작해본다사전 준비교육 조 편성주요내용도입체험 관련 안전 수칙 및 주의 사항 안내본활동 차 산업혁명을 대표하는 기술 알아보기 프린터 원리 이해 펜 활용분야 알아보기 관련 학과의 이해 기획서 작성 및 아이디어 발상 스케치 다양한 소품을 활용한 나만의 작품 구상 나만의 작품 제작 펜을 이용한 조형물 제작 드림캐처 에펠탑 등마무리품평회사후활동활동 소감문 작성,경북 영주시 구성로150번길 19,36.8070556,128.6293459
3D창의메이커(스마트펜으로 창작물 제작),25,"250,000원",(주)빛하민에듀케이션,스마트펜을 활용하여 입체구조의 개념을 이해하여 창의적 창작물을 제작한다사전 준비콘센트가 구 이상 있는 교실주요내용도입 진행강사 소개 펜 사용시 유의점본활동 펜의 구조적 특징 프린터와 펜의 장단점 비교 필라멘트의 특징 필라멘트의 특징 필라멘트의 특징 도안의 이해 도안을 이용하여 장작물 만들기 선 긋기 면 만들기 입체물 만들기마무리 소감 및 설문지 작성 기념 촬영 교실 청소사후활동펜을 활용하여 실생활에서 필요한 소품 및 나만의 악세사리등을 제작스마트펜을 이용하여 개인 창작물 혹은 그룹 창작물을 제작한다사전 준비콘센트가 구 이상 있는 교실주요내용도입 진행강사 소개 펜 사용시 유의점본활동 펜의 구조적 특징 프린터와 펜의 장단점 비교 필라멘트의 특징 필라멘트의 특징 필라멘트의 특징 도안의 이해 도안을 이용하여 장작물 만들기 선 긋기 면 만들기 입체물 만들기마무리 소감 및 설문지 작성 기념 촬영 교실 청소사후활동 펜을 이용하여 그룹창작물을 제작하기본 프로그램은 다른 프로그램차시와 같이 가지의 프로그램으로진행하며 총 차시로 구성되어있습니다,경북 김천시 아포읍 한지2길,36.1582024,128.2603792
3D펜 기초반,15,무료,경산시청소년문화의집,대상 관내 청소년 세세 명활동장소 경산시청소년문화의집 다목적홀일시 차시 프로그램 펜의 다룰 수 있고 점 선 면을 표현할 수 있다면을 모아 평면 도형 및 입체적 표현을 할 수 있다,경상북도 경산시 서상동 143-18 경산문화원,35.81635,128.73541
3D펜 디자인전문가 - 중학생을 위한 3D펜 창의체험,60,"14,000원",주식회사 정인에듀,펜 창의체험 활동 특징 나만의 펜 작품제작을 통한창의력 발현 프린팅 기술에 대한 이해도 증가중학교체험목표 차산업시대 유용한 도구인 프린팅 기술에 대한 이해를 높이고 활용방안을 살펴보며차산업혁명시대 융합인재의 핵심역량을 강화시키는 창의융합프로그램사전준비없음주요내용구분학습내용도입체험자 및 진행강사 소개 진행순서 안내프로그램 진행 장소 활용및 활동시안전 및 유의사항 전달 도입펜 활용 작품 감상본활동 프린팅기술속 직업이야기 프린팅 기술을 활용한 다양한직업에 대한 개념 이해프린팅 기술을 활용한 청소년 사업가의성공스토리 프린트를 활용한 세계 청소년 사업가의비하인드 스토리프린트관련 직업을 위해 필요한 능력과 어떤 가치를 가지고 일하는지 들려줌 프린트 관련직업 펜체험 펜 기초 활용 평면 디자인 펜 활용 입체 무드등 제작 차산업혁명 시대 미래 융합인재의 핵심전략산업 프린팅 기술 기반의 신 산업 소개 및 미래산업 발전 방향 안내마무리 사후 만족도 설문조사주변 정리 및 간단한 소감 발표사후활동과학 공학 중점 고등학교 조사 및 탐방하여 진로계획 세우기,경북 칠곡군 기산면 칠곡대로 1315,35.9927198,128.3872542
3D프린터전문가 - 중학생을 위한 3D프린트 체험,60,"14,000원",주식회사 정인에듀,차산업시대 유용한 도구인 프린팅 기술에 대한 이해를 높이고 활용방안을 살펴보며 차산업혁명시대 융합인재의 핵심역량을 강화시키는 창의융합프로그램사전 준비없음주요내용도입 체험자 및 진행강사 소개 진행순서 안내 프로그램 진행 장소 활용 및 활동시 안전 및 유의사항 전달 도입 프린트 활용 작품 감상본활동 프린팅기술 속 직업이야기 프린팅 기술을 활용한 다양한 직업에 대한 개념 이해 프린팅 기술을 활용한 청소년 사업가의 성공 스토리 프린트를 활용한 세계 청소년 사업가의 비하인드 스토리 프린트관련 직업을 위해 필요한 능력과 어떤 가치를 가지고 일하는지 들려줌 프린트속 직업 모델링 체험 을 활용한 기초 모델링 메이커작품 부품 모델링 프린트 출력물 기반 메이커작품 제작 프린트 기술의 악용 사례 소개 프린트 기술의 악용을 통한 문제점 제고 및 건강한 직업윤리의식 고취 차산업혁명 시대 미래 융합인재의 핵심전략산업 프린팅 기술 기반의 신 산업 소개 및 미래산업 발전 방향 안내마무리 사후 만족도 설문조사 주변 정리 및 간단한 소감 발표사후활동프린트 기술 관련 활동을 많이 할 수 있는 과학 공학관련 고등학교 탐색,경북 칠곡군 기산면 칠곡대로 1315,35.9927198,128.3872542
3D프린팅 콘텐츠크리에이터 - 중학생을 위한 3D펜 창의체험,200,"14,000원",토라사이언스,차산업시대 유용한 도구인 프린팅 기술에 대한 이해를 높이고 활용방안을 살펴보며 차산업혁명시대 융합인재의 핵심역량을 강화시키는 창의융합프로그램사전 준비없음주요내용도입 체험자 및 진행강사 소개 진행순서 안내 프로그램 진행 장소 활용 및 활동시 안전 및 유의사항 전달 도입 펜 활용 작품 감상본활동 프린팅기술 속 직업이야기 프린팅 기술을 활용한 다양한 직업에 대한 개념 이해 프린팅 기술을 활용한 청소년 사업가의 성공 스토리 프린트를 활용한 세계 청소년 사업가의 비하인드 스토리 프린트 관련 직업을 위해 필요한 능력과 어떤 가치를 가지고 일하는지 들려줌 프린트 관련 직업 펜 체험 펜 기초 활용 평면 디자인 펜 활용 입체 무드등 제작 차산업혁명 시대 미래 융합인재의 핵심전략산업 프린팅 기술 기반의 신 산업 소개 및 미래산업 발전 방향 안내마무리 사후 만족도 설문조사 주변 정리 및 간단한 소감 발표사후활동과학 공학 중점 고등학교 조사 및 탐방하여 진로계획 세우기,경상북도 김천시 남면 섶밭길 166,36.1084915,128.1878133
4차산업혁명시대의 새로운 진로 창시자-창직진로 프로그램,1000,0원,미래핵심인재교육원,시간주제강의 주요내용 강의 형태비고강미래트렌드를 주목하라 영화 상상과 현실 창직자들 알아맞추기 조별 실습친밀감 형성강창직의 필요성을 깨달아라 창직의 정의 창직진로의 필요성 강의 조별 실습낱말추기강좋아하는 활동을 찾아라 프레디저카드 흥미검사 개의 활동 살펴보기 강의 조별 실습 프레디저 카드사용강하고 싶은 직업을 선택하라 개 직업을 통해 나의 진로결정 프레디저 유형을 통한 접근 강의 조별 실습직업목록표강 융합을 통해 창직하라 기존직업과 미래트렌드를 융합한 나의 창직진로 만들기 창직진로를 시각화 하기 강의 개별 실습 그림그리기 꾸미기강창직 검색으로 알려라 내가 만든 창직 검색하기 창직진로명 친구에게 소개하기 강의 개별 실습발표,경북 구미시 1공단로 169,36.1020797,128.3820047
4컷 그림일기,8,무료,문경시청소년문화의집,컷 그림일기일러스트 컷 그림일기일러스트,경상북도 문경시 모전동 77-13,36.591216,128.1870866
6차산업 체험 생강오란다 만들기(지역 농산물 활용),20,"30,000원",영주생강연구소,생강 맵지 않고 맛있어요사전 준비부모님과 함께 생강은 어디에 쓰이는지 이야기 해 본다주요내용도입 코로나 발열체크 활동 참석자 확인 체험처 소개 및 진행강사 소개 오란다 만들기 프로그램 과정 소개 불 사용에 대한 안전 및 위생 주의사항 전달본활동 사전 준비한 생강오란다 또는 인삼오란다 만들기에 필요한 레시피를 소개한다 전기 인덕션을 활용 후라이팬에 열을 가한다 물엿 수제인삼청 등 재료을 끓여서 퍼핑콩 아몬드 검정깨 건포도를 투하하여 섞어준다 오란다 실리콘 틀로 모양을 잡아 식혀서 굳힌다 식품용 비닐포장에 개별 포장한다 체험한 오란다 맛보며 코로나 상황으로 맛보지 않고 개별로 낱개 포장함 나누어 가진다마무리 활동에 대한 만족도 조사 생강에 대해 궁금한 점에 대한 묻고 답하기 체험처에 부탁하고 싶은 말 나누기 기념촬영사후활동우리 몸에 좋은 생강을 맛있게 먹고 건강에 좋음을 알게 한다차 산업의 이해와 생강으로 맛있는 오란다를 만들 수 있다사전 준비우리 지역의 농산물을 알아보고 생강에 대해 알아본다주요내용도입 코로나 발열체크 활동 참석자 확인 영주생강연구소 소개 및 진행강사 소개 생강 오란다 또는 인삼오란다 만들기 진행 프로그램 과정 소개 불과 후라이팬 사용에 따른 안전 및 위생 유의사항 전달본활동 차 산업에 대해 설명한다 지역 농특산물에 대해 함께 알아보고 이야기 해 본다 생강오란다 또는 인삼오란다 만들기 체험 미리 준비한 생강오란다 또는 인삼오란다 만들기에 필요한 레시피를 소개하며 만들기 과정을 소개한다 전기 인덕션을 활용 후라이팬에 열을 가한다 물엿 수제인삼청 등 재료을 끓여서 퍼핑콩 아몬드 검정깨 건포도를 투하하여 섞어준다 오란다 실리콘 틀로 모양을 잡아 식혀서 굳힌다 식품용 비닐포장에 개별 포장한다 완성된 오란다를 맛보며 코로나로 인해 포장함 생강맛에 대해 이야기를 나누고 나누어 가진다마무리 활동에 대한 만족도 조사 차 산업에 대한 궁금한 점에 대한 묻고 답하기 체험처에 부탁하고 싶은 말 나누기 기념촬영사후활동차 산업의 이해로 우리 지역 농산물을 활용한 맛있는 음식이나 제품은 어떤것이 있는지 알아본다우리지역에서 생산되는 특산물인 생강을 활용한 차산업의 이해와 농업인으로 진로 선택과 설계에 도움을 준다사전 준비우리지역 주요 농특산물을 알아보고 특산물을 활용한 제품의 종류에 대해 알아본다주요내용도입 코로나 발열체크 활동 참석자 확인 영주생강연구소 소개 및 진행강사 소개 차 산업과 생강 오란다 또는 인삼오란다 만들기 진행 프로그램 과정 소개 불과 후라이팬 사용에 따른 안전 및 위생 유의사항 전달본활동 차 산업에 대해 설명한다 지역 농특산물에 대해 함께 알아보고 이야기 해 본다 생강오란다 또는 인삼오란다 만들기 체험 미리 준비한 생강오란다 또는 인삼오란다 만들기에 필요한 레시피를 소개하며 만들기 과정을 소개한다 전기 인덕션을 활용 후라이팬에 열을 가한다 물엿 수제인삼청 등 재료을 끓여서 퍼핑콩 아몬드 검정깨 건포도를 투하하여 섞어준다 오란다 실리콘 틀로 모양을 잡아 식혀서 굳힌다 식품용 비닐포장에 개별 포장한다 완성된 오란다를 맛보며 코로나로 인해 포장함 생강맛에 대해 이야기를 나누고 나누어 가진다마무리생강오란다 만들기 체험을 통해 우리 몸을 살려주는 생강과 지역특산물 사랑을 함양시키며 웰빙시대 농촌사랑의 꿈을 키워 지역농산물을 활용한 차산업 농업기업인으로서 진로탐색에 동기부여를 한다 활동에 대한 만족도 조사 차 산업에 대한 궁금한 점에 대한 묻고 답하기 체험처에 부탁하고 싶은 말 나누기 기념촬영사후활동차 산업의 성공을 위한 농특산물 제품 제조과정에 더 깊이 알기 위해 다양한 사이트를 통해 관련 분야에 대해 알아본다,경북 영주시 대동로 63,36.8143403,128.6172124
"AI 창의과학(자율주행 자동차, 호버볼 만들기)",10,"5,000원",상주시청소년수련관,창의과학 자율주행 자동차 만들기소리반응 스피커 만들기축구공 호버볼 만들기재료비 원 별도,경상북도 상주시 계산동 490,36.4281491,128.1707283
CG프로그램을 활용한 건축디자인 체험프로그램,20,"100,000원",호산대학교 산학,소프트웨어와 알씨를 통해 건축디자인을 제작해봄으로서 흥미 적성 부합도를 확인하고 직업의 향후 변화 가능성을 알아본다사전 준비 건축디자인과 관련된 소프트웨어 기본 정보에 대해 알아보기주요내용도입 참석자 확인 체험처 및 진행 강사 소개 진행 프로그램 소개 프로그램이 진행되는 장소에서의 안전 및 유의 사항 전달본활동본활동 분강의소프트웨어 교육 및 관련 직업 분야 소개 소프트웨어 소개하기 설계사의 손발 역할을 하는 프로그램 건축업계에서 쓰이나 오래된 기계를 운영하는 가공업체에서 구버젼의 로 도면 확인 하는 정도로 쓰인다 소프트웨어 교육의 필요성 설명하기미래 사회 관련 인공지능 사물 인터넷 빅데이터 등 첨단 기술의 사용이 늘고 있음에 따라 건축 도면 작업 또한 소프트웨어 교육기 필요하다 현재까지 요구된 인재상과 미래 사회가 요구하는 인재상의 차이점 및 교육의 궁극적 목표 설명하기 현재 사회 인재상 주입식 교육 정형화된 사고 미래 사회 인재상 다양한 시각 관점 중심 교육 창의적 사고 교육은 건축의 도면설계을 배워 기능을 구현하는 것이 목적이 아닌 도면 설계 및 디자인을 통해 다른 관점으로 다양한 창의적인 사고를 함양하는 것을 목표로 한다 활용 분야 소개하기 대표적인 활용 분야 건축 인테리어 토목 기계 등 유망분야 건설 환경 조선 항공 자동차 등 미래 직업 분야 소개 모델링 기피 업종과 소프트웨어 관계성 설명하기 모델링의 성공사례 소개하기예 모델링 사례 모델링 경진대회 최우수상 대상 수상작 다시보기본활동 분개별 활동 모델링 소개 이론 분 체험 분 모델링 소개하기 컴퓨터 그래픽 분야에서 가상의 차원 공간 속에 재현될 수 있는 입체 모형을 만드는 과정이다 모델링 방식과 종류 소개하기 모델링 방식 매쉬 점 선 면으로 구성되는 차원 객체의 기본적인 형태 넙스 차원 형태를 이룸에 있어서 라는 정점의 장력으로 면을 구성한다 패치 모든 에는 핸들이라는 조정자가 있다 이 핸들을 조정함으로써 패치면의 곡율을 결정해 줄 수 있으나 사용자들이 많이 사용하지 않음 폴리 메쉬에서 한단계 발전한 형태라고 이해하도록 한다 메쉬와 비슷하나 면의 기본 단위가 삼각형이 아닌 다각형을 기준으로 한다 솔리드 면이 모여 차원 입체가 만들어지는 상태로 속이 꽉 찬 물체를 이용해 모델링하는 방식이다 모델링 종류 폴리곤 방식 팅커캐드제품 모델링 캐릭터 모델링 건축 인테리어 영화 특수효과 애니메이션 넙스 방식 라이노제품 디자인 자동차 디자인 케디안보석 모델링 건축 모델링 스컬핑 방식 동물 모델링 사람 모델링 캐릭터 모델링 모델링팅커캐드 활용하기 캐릭터를 만들어보자 알씨 소개 이론 분 체험 분 알씨프로그램을 사용한 결과물을 제시하고 사용법에 관해 설명하기 알씨프로그램을 활용하기 캐릭터를 만들어보자 캐릭터를 출력하여 채색하기마무리 사후 만족도 조사 궁금한 점에 대해 질의응답 및 간단한 소감 발표사후활동 를 활용한 사례를 찾아보고 발표해보는 시간을 가짐으로서 미래사회에 필요한 기술에는 무엇이 있는 생각해보기 관련 직업분야으로 나아가는 데 필요한 진로경로진학할 고등학교의 선택 등에 대해 알아보기 를 통해 다양한 사례들의 기록해보고 기록과정에서의 직업윤리에 대해 이야기 나누기,경북 경산시 하양읍 대경로105길 19,35.9065022,128.7883874
"DIY 원목 목공체험 ( 선반, 책꽂이, 연필꽂이, 스토리박스, 코티지박스, 반달꽂이)",300,"14,000원",핸즈체험터,,대구 달성군 화원읍 비슬로487길 34,35.8024072,128.4964134
"Do Dream(두드림_주왕산국립공원 직업체험 프로그램)(동식물 전문가, 환경교육전문가)",100,무료,국립공원공단 주왕산국립공원사무소,국립공원의 직업체험을 통해 자신의 흥미 적성과 부합하는지 탐색하고 직업의 변화 가능성을 알아본다사전 준비국립공원이 하는 일에 대해 알아보기주요내용도입 참석자 확인 해설사 소개 진행 프로그램 소개 프로그램이 진행되는 장소에서의 안전 및 유의 사항 전달본활동 국립공원은 무엇인가 국립공원의 설립목적과 주요 활동 소개하기 설립목적 국립공원에 왜 만들어졌고 왜 필요할지 각자 의견을 들어본다 주요활동 국립공원에서 하는 업무들을 알아보고 어떤 새로운 활동이 필요할지 이야기해 본다 국립공원에는 어떤 사람들이 일할까 국립공원 직원으로써의 의무와 마음가짐에 대해 이야기해 본다 자연을 훼손한 경험과 자연을 지켜본 경험을 이야기해 본다 국립공원의 현재가치와 미래가치 국립공원 구역 내에 살고 있는 여러 생물종 파악 국립공원이 보유하고 있는 전통문화유산과 그 가치 국립공원의 경제적 가치를 알아본다 국립공원이 미래에 가지게 될 가치에 대해 토론해 본다 해당 직업분야의 미래 변화 가능성을 인지할 수 있는 내용 및 활동을 포함하고 있다설명 국립공원의 생태적 문화적 경제적 가치에 대해 알아보고 미래에 어떤 가치를 지니게 될지 생각해본다 직무를 수행하면서 지켜야 할 직업윤리를 인식할 수 있는 내용 및 활동을 포함하고 있다설명 국립공원에서 일하기 위해 가장 필요한 덕목은 무엇인지 이야기해 본다 국립공원의 분야별 직업소개 동식물학자 안전관리 전문가 환경교육전문가 나는야 국립공원의 식물학자 주왕산국립공원 자연관찰로에서 식물을 관찰하며 식물 야장을 작성하여 자원조사직 활동 체험 나는야 국립공원의 동물학자 주왕산에 살고 있는 여러 야생동물들의 영상과 배설물 등을 통한 야생동물조사 활동 체험 나는야 국립공원의 안전관리전문가 재난구조대와 함께 심폐소생술 실습 계곡 구조 등 탐방객 구조 실습 체험 나는야 국립공원의 환경교육전문가 자연환경해설사와 함께 자연체험 및 자연놀이 실습을 하며 환경교육을 하는 체험 직업별 주요활동 체험 여러 직업군 중 하나를 선택하여 주요활동을 체험해본다예 자연해설 프로그램 운영계획표 작성해 보기 좋아하는 동식물 해설해보기예 식물관찰일지 작성 닮은 식물 구분법 알아보기 해당 일직업이 학생의 흥미 및 적성과 부합하는지를 체험하고 탐색할 수 있는 활동을 포함하고 있다설명 국립공원의 여러 분야별 직업들을 알아보고 자신의 가장 관심 가는 분야를 찾아본다 해당 직무에서 요구하는 역량의 특성요소과 그 수준을 이해할 수 있는 내용과 활동을 포함하고 있다설명 각 직업별 업무를 체험해 보고 어떤 능력을 키워야할지 이야기해 본다해당 직업분야으로 나아가는 데 필요한 진로경로진학 고교 선택 등를 파악할 수 있는 내용 및 활동을 포함하고 있다설명 직업별 체험을 통해 자신이 공부해야할 과목과 관련 정보를 알아볼 수 있는 기회 제공마무리 사후 만족도 조사 궁금한 점에 대해 질의응답 및 간단한 소감 발표사후활동다른 직업군 체험을 통해 이와 관련된 직업 알아보기,경상북도 청송군 부동면 공원길 169-7,36.356887,129.15953
신나는 드럼(드럼 기초 배우기),10,"10,000원",상주시청소년수련관,신나는 드럼 드럼 기초과정,경상북도 상주시 계산동 490,36.4281491,128.1707283
EM을 활용한 한방비누 만들기,35,"20,000원",자양전통장,프로그램 내용 을 활용한 한방 비누 만들기 체험처 명 자양전통장팜랜드 대상 유아 초중고 일반인 주소 경북 영천시 자양면 별빛로 운영 시간 분분 참여인원 명 운영형태 강연대화 현장진로직업체험 학교출장진로직업체험 교통비 별도 교육비용 원 원 강사비 별도 문의처 체험처 소개글자양전통장 팜랜드 농촌체험농장은 개 테마로 프로그램을 구성하여 학교출장방문진로체험과 현장진로체험으로 농산물 차산업화에 대하여 진행합니다 다양한 직업세계에 대하여 직간접적으로 체험이나 탐색의 기회를 통해 유아 초중고 학생들이 변화하는 직업세계에 능동적으로 대처하고 소질과 적성을 최대한 실현할 수 있도록 진로체험 중심으로 시설과 프로그램을 갖추고 편성운영하는 농촌체험농장이다프로그램 일정 만남과 인사 유용 미생물 의 효능과 효과를 알아본다 재료확인과 성질을 알아본다 비누 만들기 비누 틀에 담기 비누담을 상자만들기 비누포장하기 마무리하기,경북 영천시 자양면 별빛로 961-14,36.1382617,129.0073776
기후행동가(환경 관련 직업 체험),999,"20,000원",교육사회적기업 포인트(경북북부센터),기후 변화와 환경 오염의 문제점을 파악하고 생활 속 환경 오염 물질을 알아본다일상에서 환경 보호를 실천할 수 있는 방법을 찾아 본다사전 준비 멘토 소개 및 교육 조 편성 관련 직업에 대한 이해주요내용도입 체험과 관련한 안전 수칙 및 주의 사항 안내본활동 지금 지구는 어떤 상황인지 알아보기 생활 속 환경오염 물질 알아보기 실생활에서 실천할 수 있는 환경보호 실천 방안 알아보기 환경 관련 직업들에 대해 알아보기 체험활동주물럭비누 제작 제작마무리체험관 관련한 활동 소감문을 작성 합니다사후활동 실습한 직업에 대한 탐색 활동과 체험 활동을 참여하게 된 동기와 목적 구체적인 활동 내용과 활동 소감문 작성하기기후 변화와 환경오염의 문제점을 이해하고 환경 보호를 위한 방법을 생각해보고 관련 직업에 대해 알아본다사전 준비교육조 편성주요내용도입체험과 관련한 안전수칙 및 주의 사항 안내본활동 지금 지구는 어떤 상황인지 알아보기 생활속 환경오염 물질 알아보기 실생활에서 실천할 수 있는 환경보호 실천 방안 알아보기 환경 관련 직업들에 대해 알아보기 체험활동주물럭비누 제작 제작마무리체험관 관련된 활동 소감문 작성 합니다사후활동활동 내용에 대한 소감문을 작성 합니다기후 변화와 환경 오염의 문제점을 이해하고 환경 보호를 위한 방법을 생각해보고 관련 직업에 대해 알아본다사전 준비교육조 편성하기주요내용도입 체험과 관련한 안전 수칙 및 주의 사항 안내본활동 지금 지구는 어떤 상황인지 알아보기 생활 속 환경오염 물질 알아보기 실생활에서 실천할 수 있는 환경보호 실천 방안 알아보기 환경 관련 직업들에 대해 알아보기 체험활동주물럭비누 제작 제작마무리체험과 관련한 활동 소감문 작성 합니다사후활동활동 내용에 대한 소감문 작성 합니다,경북 영주시 구성로150번길 19,36.8070556,128.6293459
ITQ대비반(정보기술자격 강좌),10,무료,칠곡군청소년문화의집,정보기술자격 강좌를 통해 문서작성기술 향상 자격증 분야 전문 강사 선임으로 양질의 교육 실시 차시스타일 기능 및 표작성하기 차트 기능 및 수식 작성하기 도형작성하기 문서작성능력평가 기능 익히기 문서작성능력평가 기능 익히기 문서작성능력평가 기능 익히기,경상북도 칠곡군 석적읍 포남리 608 칠곡호이영화관및청소년문화의집,36.04915,128.4297
Let’s sing in English 영어 노래 부르기,10,무료,문경시청소년문화의집,영어노래 영어노래,경상북도 문경시 모전동 77-13,36.591216,128.1870866
