,학교명,위치,학생수,예산(만원),매칭교과,강좌명,활동목표,위도,경도
10,자인여자중학교,경산시,12.0,700.0,영어,더빙을 통한 영어학습,"
 1. 더빙 학습을 통해 일상생활에서 사용하는 영어 표현을 생동감 있게 구사할 수 있다.
 2. 더빙 학습을 통해 영어권 문화에 대해 이해할 수 있다.",35.816043,128.827966
11,자인여자중학교,경산시,12.0,700.0,수학,수학과 놀자,"
1. 다양한 수학적 지식을 이해할 수 있다.
2, 재료와 도구를 이용하여 수학 모형을 직접 만들어 봄으로써 문제해결 능력을 기를 수 있다.",35.816043,128.827966
12,자인여자중학교,경산시,12.0,700.0,과학,자유주제 탐구실험,"
 1. 교과 주제에 관한 자유주제 탐구실험을 설계하고 수행함에 따라 과학적 탐구력을 신장시킨다.
 2. 일상생활 속 과학적 원리의 적용을 파악함에 따라 과학에 대한 흥미를 고찰시킨다.",35.816043,128.827966
13,자인여자중학교,경산시,12.0,700.0,체육,바른 인성 탁구교실,"
1. 라켓을 올바른 방법으로 잡을 수 있으며 기본자세를 습득할 수 있다.
2. 탁구 경기의 공격 및 수비 전략 등의 경기 전략을 이해하고 경기 상황에 적용할 수 있다.",35.816043,128.827966
14,자인여자중학교,경산시,12.0,700.0,음악,음악과 친해지자,"
 1. 리코더에 대한 기본지식을 습득하여, 창의적인 표현 능력을 기를 수 있다.
 2. 올바른 음악 감상을 통하여 음악에 대한 지식을 습득하고 적극적인 태도를 가질 수 있다.",35.816043,128.827966
15,자인여자중학교,경산시,12.0,700.0,미술,"
 작품제작에서 작품전시까지","
1. 주제에 맞는 재료와 기법을 탐색하고 적절한 활용하여 자신의 생각과 느낌을 효과적으로
   표현할 수 있다.
2. 전시의 의미를 이해하고 전시 주제에 맞는 전시기획을 계획하고 기획할 수 있다.",35.816043,128.827966
16,경산중학교,경산시,242.0,2500.2,국어,"북적북적(책 읽고,쓰기)","
독서 활동을 통한 간접 경험으로 세상을 보는 안목과 태도를 형성하고, 올바른 가치관을 정립하며 성장할 수 있도록 한다.",35.82428626,128.7484647
17,경산중학교,경산시,242.0,2500.2,"
과학",창의과학,"
여러 가지 과학 원리와 과학 현상을 일상속에서 영화속에서 찾아보도록 한다.",35.82428626,128.7484647
18,경산중학교,경산시,242.0,2500.2,"
수학",아하 수학반,"
다양한 수학 체험 활동을 통하여 수학에 대한 흥미를 불러일으키고, 수학의 필요성과 수학적 의사소통 능력, 창의적 사고력을 기를 수 있도록 한다. ",35.82428626,128.7484647
19,경산중학교,경산시,242.0,2500.2,"
수학",수학으로 보는 세상,"
다양한 수학 체험 활동을 통하여 수학에 대한 흥미를 불러일으키고, 수학의 필요성과 수학적 의사소통 능력, 창의적 사고력을 기를 수 있도록 한다. ",35.82428626,128.7484647
20,경산중학교,경산시,242.0,2500.2,기술가정,인공지능 시대 하이테크 세상,"
여러 기술적 활동을 통해서 문제해결력을 함양하고 그 과정에서 창의성과 조작적 능력을 기를 수 있다.",35.82428626,128.7484647
21,대구가톨릭대학교사범대학부속무학중학교,경산시,242.0,2500.2,국어,교실에서 문학을 만나다,"
문학 작품과 영화를 감상하고 작품 속 삶의 문제를 찾아 토의·토론을 함으로써 삶에 대해 사고하고 비판하는 힘을 기른다.",35.92002869,128.8159912
22,대구가톨릭대학교사범대학부속무학중학교,경산시,242.0,2500.2,국어,미(미디어)소(통)수업,"
1. 다양한 매체를 탐구함으로써 21세기에 요구되는 미디어 리터러시 역량을 기를 수 있다.
2. 매체에 대한 특성을 이해하고, 공적 발표에 필요한 매체 자료를 적절하게 선별할 수 있다.
3. 영상 광고를 만들어보는 활동을 통해 매체 자료를 능동적으로 생산하고 수용할 수 있다.",35.92002869,128.8159912
23,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,사회,향토사랑 UCC제작,"
 1. 우리 향토의 여러 가지 특성 중 문화유산을 통하여 향토 역사를 재조명해 봄으로써 향토애를 기르고, 그룹별로 조사 활동한 결과를 UCC로 제작 프로젝트를 완성하여 지역 문화 알리기 홍보 활동을 실천하면서 나아가 국토애와 애국심을 기른다.
 2. 우리 고장의 더 나은 발전을 위하여 지역조사를 해보고, 개선점을 모둠별로 검토, 분석해 본 후 개선 방안과 발전 방안을 함께 모색해 본다.",35.92002869,128.8159912
24,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,사회,행복한 세상 만들기,"
우리 사회의 겪고 있는 사회 문제의 원인, 현황 등을 파악하여 행복한 공동체를 만들기 위해 해결 방안을 모색한다.
저출산 문제, 가족해체문제, 빈부격차문제, 환경오염 및 바이러스 문제 등에 관심을 가지고 사회 참여자로써의 재능을 발휘하고 자신의 진로를 탐색한다.",35.92002869,128.8159912
25,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,수학,꼬두랑이 수학이야기,"
1. 생활 속에서 발견하는 수학의 원리, 체험을 통해 발견하는 수학의 원리 등의 경험을 통해 새로운    수학 학습 방법 모색한다.
2. 수학 체험활동을 통해 얻은 수학의 아름다움과 즐거움으로 수학의 중요성을 인식한다. ",35.92002869,128.8159912
26,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,수학,수학여행,"
 1. 학생들이 직접 조작하며 수학적 지식을 자유롭게 익히고 의논하며 의사소통 능력을 기른다.
 2. 수학 내용이 적용되는 다양한 사례를 알아보고, 다양한 주제를 접하며 수학적 사고력, 창의력을 기른다.",35.92002869,128.8159912
27,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,기술가정,뻔뻔한 기술,"
 1. 자연과 함께 하는 노작활동의 중요성을 일깨워 자신의 적성을 탐색한다.
 2. 적성과 흥미에 기반하여 관심있는 직업을 찾음으로써 진로탐구가 이루어 지도록 한다.",35.92002869,128.8159912
28,대구가톨릭대학교사범대학부속무학중학교,경산시,206.0,1900.0,기술가정,기가 팍팍,"
- 학생 시기에 악기 연주 능력을 배양함으로써 풍부하고 가치로운 삶을 위한 인성 함양
- 기타연주법을 익힘으로써 학생시절의 소중한 경험, 인내, 즐김의 느낌을 가짐
- 기타의 다양한 테크닉을 익혀 새로운 흥미, 취미를 갖고 이의 안착을 지원",35.92002869,128.8159912
29,문명중학교,경산시,137.0,1100.0,국어,국어 DNA 심어주다,"
 1. 영화와 관련된 사회적 주제를 선정해 자신만의 해석과 수업 속 학생들에게 던지는 질문을 통해 의미 있는 수업을 구성해본다.",35.80503215,128.7451394
30,문명중학교,경산시,137.0,1100.0,수학,문명과 수학,"
 1. 수학의 역사를 탐구하여 왜 수가 필요하고 나타났는지를 보며 실생활에서 수학의 발전한 방향을 탐구할 수 있도록 한다.
 2. 생활 주변의 소재를 이용하여 친숙하게 수학에 도입하고, 학생 스스로 탐구하는 활동 계획을 수립하여 수학에 대한 긍정적 태도를 갖도록 한다.",35.80503215,128.7451394
31,문명중학교,경산시,137.0,1100.0,사회,"나도 PD다, 세계문화기행,","
 1. 지도에서 내가 사는 지역의 위치를 찾을 수 있다.
 2. 국내 및 세계 주요 지형 및 기후 관광지에 관한 정보를 탐색하고 정리하여 소개할 수 있다.
 3. TV 프로그램을 제작하는 과정에서 의사소통 능력과 협업 능력을 함양할 수 있다. 
 4. 대중매체를 통해 현대사회를 비판적으로 바라볼 수 있다.",35.80503215,128.7451394
32,문명중학교,경산시,137.0,1100.0,영어,영어권 문화여행,"
 1. 다양한 영어권 문화를 접하는 기회를 많이 가지며 영어 교과에 흥미를 높일 수 있다.
 2. 영어권 문화를 경험하면서 자연스럽게 영어로 의사 소통 능력을 기를 수 있다.",35.80503215,128.7451394
33,사동중학교,경산시,224.0,2491.0,국어,나만의 감성 시 쓰기,"
? 다양한 시를 감상한 후 음악, 그림 사진, 영상, 이야기를 활용하여 자유롭게 생각하고 발표하며 짧은 시를 작성할 수 있다. ",35.81400185,128.7590562
34,사동중학교,경산시,224.0,2491.0,도덕,평화 시민,"
? 우리가 서로 용서하고 화해하려면 어떤 태도를 가져야 하는지 진술할 수 있다.
? 평화와 통합을 실천하려면 어떻게 행동해야 하는지 찾아서 실천할 수 있다. ",35.81400185,128.7590562
35,사동중학교,경산시,224.0,2491.0,사회,꿈끼 찾기,"
? 학생들이 자신의 꿈과 끼를 찾아서 사회에 나아가 가치 있는 사람으로 성장할 수 있도록 한다.",35.81400185,128.7590562
36,사동중학교,경산시,224.0,2491.0,기술가정,내일은 발명왕,"
? 생활 속 발명품을 찾아 원리를 이해하고 이를 바탕으로 아이디어를 구상하여 창의적인 작품을 만들어낼 수 있다.",35.81400185,128.7590562
37,사동중학교,경산시,224.0,2491.0,과학,사진과 과학,"
? 사진에 자신의 감정과 생각을 표현할 수 있다.
? 작품 감상과 발표를 통해 타인을 이해하고 공감할 기회를 가질 수 있다.
? 공동 작업을 통해 서로의 의견을 조율하고 협력하는 자세를 배울 수 있다.
? 사진 매체에 대해 이해를 할 수 있다.",35.81400185,128.7590562
38,삼성현중학교,경산시,219.0,2100.0,국어,그림책 창작,"
1. 다양한 종류의 작품을 읽고 스토리텔링 능력을 기를 수 있다.
2. 기초 이론을 바탕으로 자신만의 철학이 담긴 그림책을 창작할 수 있다.",35.80114113,128.7401211
39,삼성현중학교,경산시,219.0,2100.0,국어,책과 만나는 세상,"
1. 자신의 흥미와 수준에 맞는 책을 읽고 독서 일지를 작성할 수 있다.
2. 모둠원과의 토론을 통해 책의 내용을 자신의 삶과 연관 짓고 세상을 바라보는 시각을 넓힐 수 있다.",35.80114113,128.7401211
40,삼성현중학교,경산시,219.0,2100.0,기술가정,의복-나를 표현하다,"
1. 의복을 통해 자신을 표현하고 타인을 배려하는 의생활을 실천한다.
2. 의복을 재활용하는 방법을 통해 창의적이고 친환경적인 의생활에 적용한다.",35.80114113,128.7401211
41,삼성현중학교,경산시,219.0,2100.0,도덕,녹색환경 프로젝트,"
1. 생태환경에 대한 다양한 관점을 이해하고 설명할 수 있다.
2. 환경 친화적인 삶을 실천하려는 자세를 지닐 수 있다.",35.80114113,128.7401211
42,삼성현중학교,경산시,219.0,2100.0,영어,Travel the world,"
1. 세계 여러 나라의 문화 및 역사를 알아본다 
2. 본인이 여행가고 싶은 나라의 여행가이드 북을 만들고 영어로 발표 할 수 있다.",35.80114113,128.7401211
43,삼성현중학교,경산시,219.0,2100.0,영어,Reading for fun,"
1. 영어 그림책 읽기 활동을 통하여 영어 읽기의 즐거움과 실제적인 영어 독해 능력을 향상할 수 있다.
2. 원서 낭독 및 스토리 북 만들기 활동을 통해 의사소통 능력과 협업 능력을 함양할 수 있다. ",35.80114113,128.7401211
44,삼성현중학교,경산시,219.0,2100.0,영어,영어 잡지 만들기,"
1. 영미 문화에 관한 다양한 콘텐츠를 제작하며 영어에 자연스럽게 노출되어 영어 의사소통 능력을 향상시킨다.
2. 영미 문화에 관한 진정성 있고 다양한 어휘와 표현을 습득한다.",35.80114113,128.7401211
45,삼성현중학교,경산시,219.0,2100.0,영어,교실 속 세계 여행,"
1. 자신이 가고 싶은 나라에 대해 알아보고 여행 계획을 세울 수 있다.
2. 자신이 가고 싶은 나라를 영어로 소개할 수 있다.",35.80114113,128.7401211
46,신상중학교,경산시,111.0,1869.0,국어,시와 소설과 수필과반,"
다양한 갈래의 문학을 감상한 후 개인의 감상 내용을 요약 정리하여 표현하며 토론 주제로 삼아 토론할 수 있다.",35.87468993,128.8219306
47,신상중학교,경산시,111.0,1869.0,국어,신문으로 만나는 세상 이야기반,"
 1. 신문 매체에 대한 이해를 높이고, 신문을 활용하여 인문학에 대한 통찰력을 기를 수 있다.
 2. 관심분야에 관련된 신문 기사를 읽으며 자신의 진로를 계획하고 설정할 수 있다.",35.87468993,128.8219306
48,신상중학교,경산시,111.0,1869.0,과학,생활 속 과학반,"
 실생활과 연관된 다양한 과학적 사례를 탐구하는 활동을 통해 과학적 원리를 알고 탐구력과 창의력을 신장한다. ",35.87468993,128.8219306
49,신상중학교,경산시,111.0,1869.0,과학,나는 과학자다반,"
 과학자의 관점으로 여러 현상의 원리를 탐구하여 과학적 소양을 기른다.",35.87468993,128.8219306
50,압량중학교,경산시,112.0,1519.0,국어,나만의 이야기책 만들기,"
이야기책의 구성 요소를 알고, 나만의 이야기책을 구성하여 창작할 수 있다.",35.84381785,128.7614826
51,압량중학교,경산시,112.0,1519.0,영어,동화책을 이용한 영어 글트기,"
1. 다독 수업은 학생들이 본인의 수준과 흥미에 맞게 읽고 싶은 책을 직접 골라 즐겁게 독서하면서 자신의 발전 과정을 스스로 확인할 수 있다.
2. 학생들은 독서와 영어에 대해 더욱 친근감을 느끼게 되고, 친구들과 협력하고 소통하는 다양한 활동을 하면서 공감과 배려, 존중 등의 인성 역량을 키울 수 있다.",35.84381785,128.7614826
52,압량중학교,경산시,112.0,1519.0,수학,오감활동 탐구수학,"
-짝활동으로 오감을 활용하여 체험하고 느끼면서 협업적 문제해결력을 기르고 수학과 친해진다.
-수학적 원리를 활용한 아름다운 입체물을 만들면서 창의성과 수학에 대한 긍정적인 태도를 기른다.",35.84381785,128.7614826
53,압량중학교,경산시,112.0,1519.0,기술가정,나도 메이커,"
기술적 문제 해결 과정을 이해하고 주어진 과제에 대하여 해결 방안을 모색하고, 트러스 교량 제작하여 평가해보는 활동을 통하여, 메이커로서의 체험을 하면서 창의적인 문제 해결력을 함양한다.",35.84381785,128.7614826
54,용성중학교,경산시,6.0,200.0,국어,친근한 독서반,"
 1. 다양한 읽기 자료를 폭넓게 읽고 중요 내용을 파악하는 힘을 기를 수 있다.
 2. 읽기의 즐거움을 알고 이를 통해 자신의 삶을 더욱 풍요롭게 가꿀 수 있다. ",35.792593,128.8733966
55,용성중학교,경산시,6.0,200.0,사회,사회 탐구반,"
 1. 우리나라의 자연, 인문 환경을 주체적으로 탐구한다.
 2. 세계의 자연, 인문 환경 학습을 통해 우리가 사는 세계에 대해 관심을 가진다.",35.792593,128.8733966
56,용성중학교,경산시,6.0,200.0,도덕,사회적 약자 공감 프로젝트 ,"
 1. 사회적 약자의 어려움에 대해 공감하고 사회적 약자를 위해서 도움을 줄 수 있는 방안에 대해 탐구할 수 있다.
 2. 사회적 약자에 대해 탐구한 내용을 바탕으로 카드 뉴스를 제작할 수 있다. ",35.792593,128.8733966
57,용성중학교,경산시,6.0,200.0,과학,과학탐구반,"
 1. 재미있고 다양한 실험을 통해 과학의 원리를 배워봄으로써 과학에 대한 관심과 흥미를 높이며 과학과      관련된 다양한 직업 세계를 탐구할 수 있다.
 2. 과학 실험을 통해 의사소통 능력과 협업 능력을 함양할 수 있다. ",35.792593,128.8733966
58,용성중학교,경산시,6.0,200.0,기술가정,전통시장,"
 우리나라의 고유한 문화를 익히고, 전통적인 아름다움과 실용성 높은 작품 만들 수 있다.",35.792593,128.8733966
59,자인중학교,경산시,6.0,1280.0,국어,책앤락(樂),다양한 문학 작품을 감상하고 다양한 방법으로 표현하는 활동을 통하여 창의력을 향상시키며 인문학적 소양을 기를 수 있다.,35.81989055,128.8217723
60,자인중학교,경산시,6.0,1280.0,수학,수학이야기,"수학 관련 체험활동을 통해 수학과 실생활과의 관련성을 탐구하고, 관련된 인지적?정의적 영역의 긍정적인 발달을 도모한다.",35.81989055,128.8217723
61,자인중학교,경산시,6.0,1280.0,과학,재미있는 실험·탐구,"
1. 다양한 실험?실습 활동을 통하여 과학에 대한 흥미와 호기심을 가지도록 한다.
2. 일상 생할의 문제를 창의적이고 과학적으로 해결하는데 필요한 과학적 소양을 기른다.",35.81989055,128.8217723
62,자인중학교,경산시,6.0,1280.0,영어,영어동화교실Ⅰ,일상적인 생활에 필요한 대화를 영어로 사용할 기회를 가진다. 자신이 평상시 사용하는 한국말 표현을 영어로 옮기고 사용할 수 있다. 자신의 학습계획을 직접 작성함으로써 자율적인 학습 습관을 기른다.,35.81989055,128.8217723
63,자인중학교,경산시,6.0,1280.0,기술가정,나를 찾아 떠나는 여행,"청소년의 신체적, 지적, 정서적, 사회적 발달 특징을 다양한 활동을 통하여 배우고 자신을 종합적으로 이해하여 긍정적인 자아정체감을 형성할 수 있다.",35.81989055,128.8217723
64,자인중학교,경산시,6.0,1280.0,사회,대법원 탐험기,"대법원에 대한 탐험으로 공정한 재판의 중요성을 깨닫고, 사법의 필요성에 대해 설명할 수 있다. ",35.81989055,128.8217723
65,장산중학교,경산시,223.0,3010.0,국어,혜윰반,"
 1. 다양한 유형의 담화, 글을 비판적으로 이해하고 창의적으로 생각을 표현할 수 있다. 
 2. 문학은 심미적 체험을 바탕으로 한 다양한 소통 활동임을 알고 문학 활동을 할 수 있다. ",35.81897414,128.7303219
66,장산중학교,경산시,223.0,3010.0,국어,국어랑 놀이반,"
1. 문학 작품 감상 및 재미있는 국어활동을 통해 정서 순화 및 표현의 즐거움을 느낄 수 있다.
2. 자신의 생각과 경험을 정리하여 한 권의 자서전을 완성할 수 있다.",35.81897414,128.7303219
67,장산중학교,경산시,223.0,3010.0,수학,꿈과 끼를 찾는 수학,"
 1. 자료의 홍수 속에 살고 있는 현대사회에 다양한 자료와 정보를 수집·정리·분석·활용하여 정보를 해석하고 비판적으로 평가하며 의사소통을 통해 자료가 갖는 의미를 해석하는 능력을 기를 수 있다.
 2. 독서활동은 어휘력을 향상시켜 수학 개념을 이해하고, 문제를 제대로 독해할 수 있도록 도움을 주고 추상적 사고력과 짜임새 있는 논리력 등이 자연스럽게 발달하여 사고실험 능력을 발달시킬 수 있다.",35.81897414,128.7303219
68,장산중학교,경산시,223.0,3010.0,수학,수학으로 보는 세상이야기,"
 1. 자료의 홍수 속에 살고 있는 현대사회에 다양한 자료와 정보를 수집·정리·분석·활용하여 정보를 해석하고 비판적으로 평가하며 의사소통을 통해 자료가 갖는 의미를 해석하는 능력을 기를 수 있다.
 2. 독서활동은 어휘력을 향상시켜 수학 개념을 이해하고, 문제를 제대로 독해할 수 있도록 도움을 주고 추상적 사고력과 짜임새 있는 논리력 등이 자연스럽게 발달하여 사고실험 능력을 발달시킬 수 있다.",35.81897414,128.7303219
69,장산중학교,경산시,223.0,3010.0,과학,세상을 이롭게 하는 착한 과학,"
 1. 현재 사회적 이슈가 되고 있는 문제들을 과학적으로 분석함으로써 과학적 문제해결능력을 기른다.
 2. 조별 토의를 통해 토의능력, 의사소통 능력과 협업 능력을 함양한다.",35.81897414,128.7303219
70,장산중학교,경산시,223.0,3010.0,과학,손에 잡히는 과학,"
 1. 일상생활에서 사용하는 도구나 현상을 과학적으로 탐구하는 능력을 기른다.
 2. 현재 이슈가 되고 있는 사회적, 환경적 문제들을 과학적으로 분석함으로써 해결 방안을 모색한다.
 3. 조별 토의를 통해 토의능력, 의사소통 능력, 협업 능력을 함양할 수 있다.",35.81897414,128.7303219
71,장산중학교,경산시,223.0,3010.0,영어,Reading for fun,"
1. 자신이나 주변 사람, 일상생활에 관해 짧고 간단한 글을 쓸 수 있다.  
2. 영어 동화책 읽기 활동을 통하여 영어 읽기의 즐거움과 실제적인 영어 독해 능력을 향상할 수 있다.
3. 원서 낭독 및 스토리 북 만들기 활동을 통해 의사소통 능력과 협업 능력을 함양할 수 있다. ",35.81897414,128.7303219
72,진량중학교,경산시,133.0,1500.0,국어,매체로여는 창작교실,"
1. 매체가 전하는 메시지를 바르게 받아들이고 이를 여러 가지 매체적 방식으로 재구성할 수 있다.
2. 매체를 활용하여 자신의 메시지를 논리적이고 설득력 있는 방식으로 창작할 수 있다.
3. 결과물에 대하여 여러 관점을 통하여 다양한 평가를 할 수 있다.",35.87727334,128.8110155
73,진량중학교,경산시,133.0,1500.0,수학,수학으로 만나는 세상,"
다양한 수학 활용사례를 접하며 학습에 즐거움을 느끼고 논리력, 사고력, 창의력을 신장할 수 있다.",35.87727334,128.8110155
74,진량중학교,경산시,133.0,1500.0,사회,사회야 놀자,"
 학생이 세계 시민으로서의 자세를 가지고 사회 활동을 통하여  성숙한 민주시민으로서 행복한 삶을 살아갈 수 있는 역량을 기른다.",35.87727334,128.8110155
75,진량중학교,경산시,133.0,1500.0,과학,녹색 지구 만들기,"
시대 흐름의 변화를 이해하며 급변하는 사회에 능동적으로 대처하고, 다양한 문제에 대한 해결력을 높일 수 있다.",35.87727334,128.8110155
76,하양여자중학교,경산시,150.0,1800.0,인문,나를 표현하는 스피치,"
1. 토의에서 의견을 교환하여 합리적으로 문제를 해결할 수 있다. 
2. 파워포인트를 활용하여 내용을 효과적으로 제시할 수 있다. ",35.92967651,128.826076
77,하양여자중학교,경산시,150.0,1800.0,인문,글씨로 나타나는 나의 모습,"
1. 자신의 글씨체를 바르게 만들 수 있다.
2. 글씨를 통해 자기 모습을 드러내는 방법을 탐구할 수 있다.",35.92967651,128.826076
78,하양여자중학교,경산시,150.0,1800.0,인문,문학과 표현,"
1. 문학 작품을 다양한 관점을 기반으로 감상하고 다른 사람과 의견을 나눌 수 있다. 
2. 문학 작품을 다양한 매체를 통해 창의적으로 재구성한다. ",35.92967651,128.826076
79,하양여자중학교,경산시,150.0,1800.0,인문,내가 만드는 한문,"
1. 한문을 통해 자신을 표현함으로써 한문에 대한 흥미와 친숙함을 느낀다.
2. 한문을 활용하여 자신의 꿈과 끼를 표현할 수 있다.",35.92967651,128.826076
80,하양여자중학교,경산시,150.0,1800.0,인문,역사신문 만들기,"
1. 자신이 정한 자료를 읽고 인상 깊은 역사신문 내용을 통해 바른 인성을 키울 수 있다.
2. 줄거리를 요약한 후 역사신문 만들기와 발표하기를 통해 현재와 미래의 세상을 바라보는 
   새로운 관점을 만들 수 있다. ",35.92967651,128.826076
81,하양여자중학교,경산시,150.0,1800.0,인문,영화로 배우는 한국사,"
우리나라 역사 영화에 대한 리뷰를 시청하고 그 시대의 시대적 배경이나 사건의 흐름을 학습함. 이를 바탕으로 한국사에 대한 전반적인 흐름과 우리나라 역사에 대한 자부심과 자긍심을 함양함.",35.92967651,128.826076
82,하양여자중학교,경산시,150.0,1800.0,인문,독서와 기록,"
1. 독서 후 기록을 통해 내용의 깊이 있게 이해할 수 있다. 
2. 필사를 통해 단어의 의미를 깊이 있게 이해할 수 있다. ",35.92967651,128.826076
83,하양여자중학교,경산시,150.0,1800.0,탐구,통계 포스터,"
1. 통계에 대해 이해할 수 있다.
2. 통계를 실생활에 적용할 수 있다.",35.92967651,128.826076
84,하양여자중학교,경산시,150.0,1800.0,탐구,상상 더하기,"
풍부한 상상력과 창의적인 아이디어를 발휘하여 창작 표현활동을 할 수 있다.",35.92967651,128.826076
85,하양여자중학교,경산시,150.0,1800.0,탐구,과학을 그리다,"
1. 중학생 반드시 알아야 할 과학 용어를 그림을 통해 이해할 수 있다.
2. 창의적인 아이디어를 통해 과학과 예술을 통합하고 과학 용어를 비교적 쉽게 설명할 수 있다. ",35.92967651,128.826076
86,하양여자중학교,경산시,150.0,1800.0,탐구,과학아 놀자,"
 생활 속에 적용되는 과학의 원리를 찾고 과학이 우리 생활과 밀접한 관계가 있음을 알 수 있다.",35.92967651,128.826076
87,하양여자중학교,경산시,150.0,1800.0,탐구,생활 속 만들기,"
1. 자신의 감정과 특성을 파악하여 자아정체감을 형성하고, 긍정적인 나의 모습을 설계할 수 있다.

2. 생활 속에서 쉽게 접할 수 있는 소품을 만드는 등 다양한 분야를 체험할 수 있다.",35.92967651,128.826076
88,하양여자중학교,경산시,150.0,1800.0,탐구,기술 크래프트,"
기술이론 학습 후 만드는 방법에 따라 직접 만들면서 지식과 기능을 함께 습득하는 것을 목표로 함.",35.92967651,128.826076
89,하양여자중학교,경산시,150.0,1800.0,탐구,3D 펜 알아보기,"
1. 자신이 원하는 물품을 제작·수리·장식을 통해 눈과 손의 협응력을 향상시킬 수 있다.
2. 기술의 발달에 따른 3D 펜의 기초기술을 익히고, 평면, 입체 도안을 구상하여 가정생활
   에 필요한 물품을 제작할 수 있다.",35.92967651,128.826076
90,감포중학교,경주시,14.0,700.0,국어,그림시집반,"
1. 시 감상한 공감한 내용을 바탕으로 그림으로 표현할 수 있다.
2. 시 감상을 내면화하고 친구들과 시에 담긴 내용을 공유할 수 있다.",35.81078851,129.5061535
91,감포중학교,경주시,14.0,700.0,과학,상상발전소,"
생활 속에서 일어나는 현상을 탐구하여 적용된 과학적 원리를 이해할 수 있다.",35.81078851,129.5061535
