학교명,위치,학생수,예산(만원),매칭교과,강좌명,활동목표
경산중학교,경산시,220,2700,기술가정,메타버스 속 나만의 의복 만들기,"
 1. 의복 디자인의 요소를 적용한 개성 있는 옷차림을 통해 자신을 긍정적으로 표현하고, 다른 사람을 배려하는 의생활을 실천할 수 있다.
 2. 의복 마련에 필요한 요소를 분석하고 의복 마련 계획을 세워 의복을 합리적으로 선택할 수 있다."
무학중학교,경산시,205,1900,국어,주제 글쓰기,"1. 자신의 삶과 경험을 바탕으로 하여 독자에게 감동이나 즐거움을 주는 글을 쓴다. 2. 쓰기는 주제, 목적, 독자, 매체 등을 고려한 문제 해결 과정임을 이해하고 글을 쓴다. 3. 다양한 자료에서 내용을 선정하여 통일성을 갖춘 글을 쓴다."
무학중학교,경산시,205,1900,국어,영화 속 문학,". 문학 작품에 대한 이해를 높이고, 문학 작품을 감상할 수 있다. 2. 영화 속 내용을 바탕으로 토론할 수 있다. 3. 영화 속 인물과 사건을 통해 나의 삶을 성찰할 수 있다."
무학중학교,경산시,205,1900,사회,향토사랑 ucc제작,"1. 우리 향토의 여러 가지 특성 중 문화유산을 통하여 향토 역사를 재조명해 봄으로써 향토애를 기르고, 그룹별로 조사 활동한 결과를 
UCC로 제작 프로젝트를 완성하여 지역 문화 알리기 홍보 활동을 실천하면서 나아가 국토애와 애국심을 기른다. 2. 우리 고장의 더 나은 발전을 위하여 지역조사를 해보고, 개선점을 모둠별로 검토, 분석해 본 후 개선 방안과 발전 방안을 함께 모색
해 본다"
무학중학교,경산시,205,1900,사회,나도 프로듀서,"1. 내가 사는 세계를 소개하기 위하여 우리 고장 혹은 다른 고장을 알릴 수 있는 홍보물을 제작한다. 더불어 우리나라를 벗어나 세
계여행을 간다고 가정하고, 랜선 여행을 계획하고 세계여행 프로그램을 제작한다. 그 과정에서 세계화 시대에 살고 있는 사람으로
서 필요한 세계시민의식을 함양한다. 2. 직접 프로듀서가 되어 사회 현상을 분석하여 우리 사회가 겪고 있는 문제의 원인과 현황을 파악하고, 보다 더 행복한 공동체를 
만들기 위하여 다양한 해결방안을 모색하는 다양한 프로그램을 제작한다."
무학중학교,경산시,205,1900,수학,꼼지락 꼼지락 수학,"1. 우리의 생활 속에 숨어 있는 수학적 내용들을 살펴보고, 단순한 문제 풀이의 수학교육에서 벗어나 체험을 통해 재미있는 수학의 
원리를 발견할 수 있는 기회를 가진다."
무학중학교,경산시,205,1900,수학,수학여행,". 학생들이 직접 조작하며 수학적 지식을 자유롭게 익히고 의논하며 의사소통 능력을 기른다. 2. 수학 내용이 적용되는 다양한 사례를 알아보고, 다양한 주제를 접하며 수학적 사고력, 창의력을 기른다."
무학중학교,경산시,205,1900,기술가정,맛있는 요리조리,". 식생활과 관련된 실천적 문제를 이해하고 노작 활동과 체험을 통해 안전하고 건강한 삶을 위한 실천적 문제 해결 능력을 기른다. 2. 청소년기 영양의 특징을 이해하고 식생활과 관련된 다양한 모둠 활동을 통해 관계 형성 능력 및 의사소통 역량을 강화하고 
 자신의 진로를 탐색하여 자립적인 생활을 실천할 수 있다."
무학중학교,경산시,205,1900,기술가정,뻔뻔 기술,. 목공과 함께 하는 노작활동의 중요성을 일깨워 자신의 적성을 탐색한다. 2. 적성과 흥미에 기반하여 관심있는 직업을 찾음으로써 진로탐구가 이루어 지도록 지도한다.
문명중학교,경산시,120,2100,국어,국어 수업을 통한 미디어 리터러시 기르기,"
 1. 영화와 관련된 사회적 주제를 선정해 자신만의 해석과 수업 속 학생들에게 던지는 질문을 통해 의미 있는 수업을 구성해본다."
문명중학교,경산시,120,2100,수학,통계로 보는 세상,"
 1. 수학의 흐름을 탐구하여 통계가 왜 필요하고 어떻게 나타났는지를 보며 실생활에서 수학의 발전한 방향을 탐구할 수 있도록 한다.
 2. 생활 주변의 소재를 이용하여 친숙하게 수학에 도입하고, 학생 스스로 탐구하는 활동 계획을 수립하여 수학에 대한 긍정적 태도를 가지게 한다."
문명중학교,경산시,120,2100,사회,언택트 랜선 여행,"
 1. 지도에서 내가 사는 지역의 위치를 찾을 수 있다.
 2. 국내 및 세계 주요 지형 및 기후 관광지에 관한 정보를 탐색하고 정리하여 소개할 수 있다.
 3. 여행가이드북 제작하는 과정에서 의사소통 능력과 협업 능력을 함양할 수 있다. 
 4. 자연재해가 지역 주민의 삶에 미친 영향을 탐구하여 자연재해로 인한 피해를 줄일 수 있는 방안을 모색할 수 있다."
문명중학교,경산시,120,2100,과학,에코 프로젝트,"
1. 지구계의 구성 요소 간 유기적 관계를 알 수 있다.
2. 현대의 환경 파괴 및 오염의 원인을 설명할 수 있다.
3. 환경 오염에 대하여 지속적으로 관심을 가지는 자세를 기른다."
사동중학교,경산시,212,,국어,우리들의 연극,"
? 갈등의 진행과 해결 과정에 유의하며 작품을 감상할 수 있다.
? 희곡의 갈등 양상을 이해하고 연극 활동을 할 수 있다."
사동중학교,경산시,212,,사회,우리는 세계시민,? 세계화와 지역화가 동시에 진행되는 사회에서 필요한 시민성을 함양한다
사동중학교,경산시,212,,수학,수학으로 보는 세상,"
? 다양한 수학 체험 활동을 통하여 수학에 대한 흥미를 불러일으키고, 수학의 필요성과 수학적 의사소통 능력, 창의적 사고력을 기를 수 있도록 한다."
사동중학교,경산시,212,,과학,다윈과 함께 떠나는 갈라파고스 탐험,"
? 생물 다양성의 의미를 이해하고, 환경과 생물 다양성의 관계를 설명할 수 있다.
? 생물의 분류 체계를 이해할 수 있다.
? 생물종의 위기 사례와 보전 방안을 창의적으로 표현할 수 있다."
사동중학교,경산시,212,,영어,알리의 잉글리시 클럽,"
? 원어민과 함께 실생활 영어를 배우고 상황에 적용하여 직접 영어로 의사소통하는 능력을 기른다."
삼성현중학교,경산시,216,2100,국어,책과 만나는 세상,"
1. 자신의 흥미와 수준에 맞는 책을 읽고 독서 일지를 작성할 수 있다.
2. 모둠원과 토론을 통해 책의 내용을 자신의 삶과 연관 짓고 세상을 바라보는 시각을 넓힐 수 있다."
삼성현중학교,경산시,216,2100,국어,그림책 창작,"
1. 다양한 종류의 작품을 읽고 스토리텔링 능력을 기를 수 있다.
2. 기초 이론을 바탕으로 자신만의 철학이 담긴 그림책을 창작할 수 있다."
삼성현중학교,경산시,216,2100,사회,사회 문제 비판적 분석,"
사회 문제 및 이슈를 비판적으로 분석하여 장, 단점 및 해결 방안을 제시할 수 있다."
삼성현중학교,경산시,216,2100,기술가정,의복-나를 표현하다,"
1. 의복을 통해 자신을 표현하고 타인을 배려하는 의생활을 실천한다.
2. 의복을 재활용하는 방법을 통해 창의적이고 친환경적인 의생활에 적용한다."
삼성현중학교,경산시,216,2100,사회,지구촌 여행,"
1. 세계의 다양한 문화 및 특징에 대해 파악하고 타 문화를 올바르게 이해하는 태도를 가진다.
2. 특정 나라를 선택하여 나만의 지도 및 여행 계획서를 작성하고 발표한다."
삼성현중학교,경산시,216,2100,도덕,미디어 도덕 탐구,"
1. 대중 매체에서 나타나는 여러가지 도덕적 딜레마의 원인과 해결방안을 탐색해본다.
2. 비판적이고 분석적인 시각으로 대중 매체를 접하는 태도를 지닌다."
신상중학교,경산시,104,1500,국어,다양한 글쓰기반,"
 1. 문학 작품 감상 및 다양한 관심 분야에 대한 조사 후 다양한 글쓰기를 통해 창의적 사고역량을 
 함양할 수 있다.
 2. 발표를 통해 의사소통역량을 함양할 수 있다."
신상중학교,경산시,104,1500,국어,시와 소설과 수필과 반,다양한 갈래의 문학을 감상한 후 개인의 감상 내용을 요약 정리하여 표현하며 토론 주제로 삼아 토론할 수 있다.
신상중학교,경산시,104,1500,과학,과학 밝히기 반,"
 1. 과학이 일상생활 속에서 미치는 영향을 이해한다.
 2. 과학의 발전을 통해서 사람들이 얻는 장점과 단점을 비교 분석하여 논리적으로 서술할 수 있다."
신상중학교,경산시,104,1500,과학,과학수사반,"
1. 어려운 사건을 수사하는 과정에서 과학이 적용되는 사례를 찾아보고 관찰력과 통찰력을 기를 수 있다.
2. 실험을 통해 직접 수행해보며 과학적 흥미를 높이고 과학 수사와 관련된 직업을 탐색할 수 있다."
신상중학교,경산시,104,1500,과학,나는 과학자다반,"
 과학자의 관점으로 여러 현상의 원리를 탐구하여 과학적 소양을 기른다."
압량중학교,경산시,140,1800,국어,한한책(한학기 한권 책읽기),"
 한 학기 한 권 읽기의 경험으로 학생들이 세상을 보는 안목과 태도를 형성하고 나아가 올바른 인간으로 성장하게 한다."
압량중학교,경산시,140,1800,국어,북적북적(책읽고 쓰기),"
독서 활동을 통한 간접 경험으로 세상을 보는 안목과 태도를 형성하고, 올바른 가치관을 정립하며 성장할 수 있도록 한다."
압량중학교,경산시,140,1800,수학,퍼즐과 체험수학,"
 퍼즐과 창의적 사고력을 얻기 위한 다양한 체험활동을 통하여 수학에 대한 자신감을 가지고, 적성을 계발하여 창의력과 문제해결능력 및 기능을 신장시킨다."
압량중학교,경산시,140,1800,수학,오감활동 탐구수학,"
-짝활동으로 오감을 활용하여 체험하고 느끼면서 협업적 문제해결력을 기르고 수학과 친해진다.
-수학적 원리를 활용한 아름다운 입체물을 만들면서 창의성과 수학에 대한 긍정적인 태도를 기른다."
압량중학교,경산시,140,1800,도덕,인성토론반,"
 인성토론 활동을 통해 가치 있는 삶의 목표를 세우고, 자기다움을 회복하여 생활 속에서 미덕을 실천하는 사람을 기른다."
압량중학교,경산시,140,1800,도덕,철학으로 삶가꾸기,"
 다양한 철학 사상을 바탕으로 삶을 살아가는 지혜를 쌓고 자신이 추구하는 행복한 삶에 도달할 수 있도록 하며 여러 온라인 도구를 활용한 철학 활동을 통해 미래 역량을 함양할 수 있도록 한다."
압량중학교,경산시,140,1800,영어,동화책으로 글트기,"
1. 다독 수업은 학생들이 본인의 수준과 흥미에 맞게 읽고 싶은 책을 직접 골라 즐겁게 독서하면서 자신의 발전 과정을 스스로 확인할 수 있다.
2. 학생들은 독서와 영어에 대해 더욱 친근감을 느끼게 되고, 친구들과 협력하고 소통하는 다양한 활동을 하면서 공감과 배려, 존중 등의 인성 역량을 키울 수 있다."
압량중학교,경산시,140,1800,영어,실용영어발표,"
1. 실용영어 발표 준비 과정 및 발표 활동를 통해 쓰기와 말하기 능력을 기를 수 있다.
2. 발표 준비 및 활동 경험을 통해 다수 앞에서 말하는 방법의 특성을 
3. 실용영어 발표 준비 과정 및 발표 활동를 통해 쓰기와 말하기 능력을 기를 수 있다."
용성중학교,경산시,24,900,국어,친근한 독서반,"
 1. 다양한 읽기 자료를 폭넓게 읽고 중요 내용을 파악하는 힘을 기를 수 있다.
 2. 읽기의 즐거움을 알고 이를 통해 자신의 삶을 더욱 풍요롭게 가꿀 수 있다."
용성중학교,경산시,24,900,사회,신기한 세상 탐구반,"
 1. 우리나라의 자연, 인문 환경을 주체적으로 탐구한다.
 2. 세계의 자연, 인문 환경 학습을 통해 우리가 사는 세계에 대해 관심을 가진다."
용성중학교,경산시,24,900,수학,수학 공예반,"
? 실생활과 관련된 수학공예에 대해 알아보고, 기초지식 향상 및 생활 속에 수학을 매칭시켜 만들기를 할 수 있다."
용성중학교,경산시,24,900,과학,과학탐구반,"
 1. 재미있고 다양한 실험을 통해 과학의 원리를 배워봄으로써 과학에 대한 관심과 흥미를 높이며 과학과 관련된 다양한 직업 세계를 탐구할 수 있다.
 2. 과학 실험을 통해 의사소통 능력과 협업 능력을 함양할 수 있다."
용성중학교,경산시,24,900,기술가정,전통시장반,"
 우리나라의 고유한 문화를 익히고, 전통적인 아름다움과 실용성 높은 작품 만들 수 있다."
자인중학교,경산시,10,770,국어,책앤락(樂),"
다양한 문학 작품을 감상하고 다양한 방법으로 표현하는 활동을 통하여 창의력을 향상시키며 인문학적 소양을 기를 수 있다."
자인중학교,경산시,10,770,수학,수학이야기,"
수학 관련 체험활동을 통해 수학과 실생활과의 관련성을 탐구하고, 관련된 인지적?정의적 영역의 긍정적인 발달을 도모한다."
자인중학교,경산시,10,770,과학,재미있는 실험·탐구,"
1. 다양한 실험?실습 활동을 통하여 과학에 대한 흥미와 호기심을 가지도록 한다.
2. 일상 생할의 문제를 창의적이고 과학적으로 해결하는데 필요한 과학적 소양을 기른다."
자인중학교,경산시,10,770,영어,영어동화교실Ⅰ,"
일상적인 생활에 필요한 대화를 영어로 사용할 기회를 가진다. 자신이 평상시 사용하는 한국말 표현을 영어로 옮기고 사용할 수 있다. 자신의 학습계획을 직접 작성함으로써 자율적인 학습 습관을 기른다."
자인중학교,경산시,10,770,기술가정,나를 찾아 떠나는 여행,"
청소년의 신체적, 지적, 정서적, 사회적 발달 특징을 다양한 활동을 통하여 배우고 자신을 종합적으로 이해하여 긍정적인 자아정체감을 형성할 수 있다."
자인중학교,경산시,10,770,사회,대법원 탐험기,"
대법원에 대한 탐험으로 공정한 재판의 중요성을 깨닫고, 사법의 필요성에 대해 설명할 수 있다."
장산중학교,경산시,236,2990,국어,국어랑 놀이반,"
1. 문학 작품 감상 및 재미있는 국어활동을 통해 정서 순화 및 표현의 즐거움을 느낄 수 있다.
2. 자신의 생각과 경험을 정리하여 한 권의 자서전을 완성할 수 있다."
장산중학교,경산시,236,2990,국어,혜윰반,"
 1. 다양한 유형의 담화, 글을 비판적으로 이해하고 창의적으로 생각을 표현할 수 있다. 
 2. 문학은 심미적 체험을 바탕으로 한 다양한 소통 활동임을 알고 문학 활동을 할 수 있다."
장산중학교,경산시,236,2990,수학,꿈과 끼를 찾는 수학,"
 1. 자료의 홍수 속에 살고 있는 현대사회에 다양한 자료와 정보를 수집·정리·분석·활용하여 정보를 해석하고 비판적으로 평가하며 의사소통을 통해 자료가 갖는 의미를 해석하는 능력을 기를 수 있다.
 2. 독서활동은 어휘력을 향상시켜 수학 개념을 이해하고, 문제를 제대로 독해할 수 있도록 도움을 주고 추상적 사고력과 짜임새 있는 논리력 등이 자연스럽게 발달하여 사고실험 능력을 발달시킬 수 있다."
장산중학교,경산시,236,2990,수학,수학으로 보는 세상이야기,"
 1. 자료의 홍수 속에 살고 있는 현대사회에 다양한 자료와 정보를 수집·정리·분석·활용하여 정보를 해석하고 비판적으로 평가하며 의사소통을 통해 자료가 갖는 의미를 해석하는 능력을 기를 수 있다.
 2. 독서활동은 어휘력을 향상시켜 수학 개념을 이해하고, 문제를 제대로 독해할 수 있도록 도움을 주고 추상적 사고력과 짜임새 있는 논리력 등이 자연스럽게 발달하여 사고실험 능력을 발달시킬 수 있다."
장산중학교,경산시,236,2990,과학,꿈꾸는 과학 시간,"
1. 자연 탐구와 일상생활의 문제를 과학적, 예술적, 사회문화적인 관점으로 해결하는 능력을 기른다.
2. 조별 토의를 통해 토의 능력, 과학적 의사소통 능력과 협업 능력을 함양한다.
3. 과학에 대한 흥미와 가치 인식, 융합적 사고력, 적극성, 창의성 등을 함양한다."
장산중학교,경산시,236,2990,과학,손에 잡히는 과학,"
 1. 일상생활에서 사용하는 도구나 현상을 과학적으로 탐구하는 능력을 기른다.
 2. 현재 이슈가 되고 있는 사회적, 환경적 문제들을 과학적으로 분석함으로써 해결 방안을 모색한다.
 3. 조별 토의를 통해 토의 능력, 의사소통 능력, 협업 능력, 탐구 능력 등을 함양할 수 있다."
장산중학교,경산시,236,2990,영어,재미있는 영어 동화 읽기,"
1. 영어 동화책 읽기 활동을 통하여 영어 읽기의 즐거움과 영어 활용 능력을 향상시킬수 있다.
2. 원서 낭독 활동으로 영어에 대한 자신감과 외국어 활용 활동의 수준을 높일수 있다. 
3. 영어 스토리 북 만들기 활동을 통해 의사소통 능력과 협업 능력을 함양할 수 있다."
진량중학교,경산시,121,1500,국어,매체로여는 창작교실,"
 매체가 전하는 메시지를 바르게 받아들이고 이를 여러 가지 매체적 방식으로 설득력 
있게재구성하여 여러 관점을 통하여 다양한 평가를 할 수 있다."
진량중학교,경산시,121,1500,수학,수학으로 만나는 세상,눈으로 보고 손으로 익히는 다양한 수학 프로그램 활동을 통해 수학적 자신감을 기르고 창의적인 문제해결력을 신장할 수 있다.
진량중학교,경산시,121,1500,과학,우리와 함께 살아가는 지구,"
1. 지구 환경 오염에 대한 심각성을 인지하고 과학적 관점으로 원인을 찾을 수 있다.
2. 재생에너지에 대한 개념을 이해하고 재생에너지 사용을 활성화 방안은 연구 할 수 있다.
3. 주변의 환경에 대한 관심을 높이고 자연의 아름다움을 느낄 수 있다."
진량중학교,경산시,121,1500,기술가정,나도 한다! 건설기술,"
다양한 매체나 자료를 활용하여 나만의 셀프 인테리어를 계획하고 수립하여 자신의 공간을 꾸밀 수 있다."
하양여자중학교,경산시,163,2000,인문,카피라이터,문장을 통해 다른 사람에게 메시지를 전달할 수 있는 능력을 기름.
하양여자중학교,경산시,163,2000,인문,생활 속의 문학,"생활 속에 사용되는 문학의 사례를 통해 문학의 친숙함을 느끼고, 글을 활용한 용품을 만듦."
하양여자중학교,경산시,163,2000,인문,나 기록하기,자신의 삶을 기록하고 타인과 나누는 활동을 통해 삶을 성찰하는 태도와 표현력을 기름 .
하양여자중학교,경산시,163,2000,인문,매체로 배우는 역사,다양한 영상매체 자료를 통해 자신의 의견과 발표할 내용을 기록하고 현재와 미래의 세상을 바르게 바라보는 새로운 역사적 시각을 기름.
하양여자중학교,경산시,163,2000,인문,역사 기행,세계 여러 나라 역사 탐구 활동
하양여자중학교,경산시,163,2000,인문,경세제민,기본적인 경제 원리를 파악하고 활동을 통해 경제 개념의 적용 원리를 찾아볼 수 있음.
하양여자중학교,경산시,163,2000,인문,가곡으로 알아보는 명시,가곡의 리듬과 시의 운율에 대해서 배운다.
하양여자중학교,경산시,163,2000,탐구,상상 더하기,창의적인 생각과 상상을 바탕으로 발명 캐릭터와 디자인 그리기
하양여자중학교,경산시,163,2000,탐구,별자리를 그리다,계절별 별자리의 유래와 특징을 그려보고 기록하는 활동
하양여자중학교,경산시,163,2000,탐구,사랑스러운 지구,"환경에 관한 올바른 이해와 캠페인, 업사이클링 등을 통한 지속가능한 지구 만들기 활동"
하양여자중학교,경산시,163,2000,탐구,과학을 그리다,중학교에서 처음 접하는 과학 용어를 그림을 통해 쉽고 빠르게 이해하는 활동
하양여자중학교,경산시,163,2000,탐구,생활 속 만들기,"자신의 감정과 특성을 파악하여 긍정적인 자아정체감 형성을 도우며, 생활 속 소품들을 스스로 만들고 체험하는 활동의 실습형 수업"
하양여자중학교,경산시,163,2000,탐구,기술 크래프트,다양한 기술의 기초이론을 학습한 후 직접 만들면서 지식과 기능을 함께 습득할 수 있는 실습 과제형 수업
하양여자중학교,경산시,163,2000,탐구,창의력이 쑥쑥 자라는 3D pen,3D 펜에 대한 기본 이해를 바탕으로 학생 스스로 창의적인 제품을 만들어내는 활동
감포중학교,경주시,6,700,국어,문학탐색반,"
1. 다양한 문학 작품을 감상하고 자신의 생각을 표현할 수 있다.
2. 시와 소설을 직접 쓰고 친구들과 공유할 수 있다."
감포중학교,경주시,6,700,과학,상상발전소,"
 1. 자연현상에 대한 의문을 해결하는 과정을 통하여 논리적인 사고력을 향상시킨다.
 2. 협동학습을 통해 친구들과 함께하며 의사소통과 배려에 대하여 배운다."
감포중학교,경주시,6,700,영어,신나는 영어나라 ,"
? 다양한 주제의 영어동화책을 읽고 독후활동을 함으로써 영어의 4기능과 창의성을 향상시킬 수 있다. 
? 세계 각국의 다양한 문화와 특징을 파악하고 소개할 수 있다."
감포중학교,경주시,6,700,수학,호기심 수학,"
1. 여러 가지 수학 활동을 통해 수학에 흥미를 가진다.
 2. 단순한 암기가 아닌 활동을 통해 수학의 원리를 찾고 이해한다."
감포중학교,경주시,6,700,사회,생활법률 탐구반,"
1. 다양한 갈등 및 분쟁상황과 관련된 제도와 국가기관을 탐색하고, 문제해결력을 기른다.
2. 자신의 생각을 다양한 방법을 활용하여 표현하고, 친구들과 공유함으로써 의사소통능력, 갈등해결능력을 기른다."
감포중학교,경주시,6,700,기술가정,한땀 한땀 생활용품 만들기,"
 1. 기초 바느질 종류와 방법을 이해하여 실생활에 활용할 수 있다.
 2. 작품 제작 과정을 이해하여 생활용품을 만들 수 있다."
경주여자중학교,경주시,149,1900,국어,독서연극,"
 1. 작품을 읽고 그것을 직접 연극으로 제작, 상연해 봄으로써 깊이 있는 독서 활동 능력을 기를 수 있다. 
 2. 연극 제작의 체험을 통해 의사소통 능력과 협업 능력을 함양할 수 있다."
경주여자중학교,경주시,149,1900,사회,배워서 세계여행,"
 1. 세계 여러 나라에서 나타나고 있는 사회문제를 심층적으로 이해할 수 있다.
 2. 사회문제를 해결하는 과정에서 의사소통 능력과 문제해결 능력을 기를 수 있다."
경주여자중학교,경주시,149,1900,수학,흥미로운 수학생활,"
 1. 여러 가지 수학 활동을 통해 수학에 흥미를 가진다.
 2. 단순한 암기가 아닌 활동을 통해 수학의 원리를 찾고 이해한다."
경주여자중학교,경주시,149,1900,과학,생활과 과학,"
1. 생활 속에서 과학적 원리를 통해 창의력 및 과학적 탐구 능력을 향상시킨다.
2. 개인과 사회의 문제를 과학적이고 창의적으로 해결하기 위한 과학적 소양을 함양한다."
경주여자중학교,경주시,149,1900,영어,영어동화,"
1. 모둠 읽기를 통해 여러 가지 소재의 영어동화책을 접하고 협동심을 기를 수 있다.
2. 스스로 영어 읽기 목표를 세우고 자기주도적 읽기 습관을 형성할 수 있다. 
3. 다양한 형태의 독후활동을 함으로써 창의성을 기르고 진로 탐색을 할 수 있다."
경주여자중학교,경주시,149,1900,국어,신문으로 세상읽기,"
1. 신문의 개념과 매체로서의 특징을 이해하고 신문의 구성요소와 제작과정을 파악한다. 
2. 개인의 관심사나 진로 및 직업에 대하여 주제 신문을 제작하는 활동을 통해 타인과 의사소통하고 협업하는 능력을 기른다."
경주여자중학교,경주시,149,1900,사회,세계특파원 되기,"
 1. 지구촌에서 발생하는 문제를 찾아 해결방안을 모색하고, 그 속에서 세계 특파원으로서의 소양을 기른다.
 2. 지구촌에서 발생하는 문제와 관련된 영상을 통해 문제의 심각성을 인식한다."
경주여자중학교,경주시,149,1900,수학,몸으로 익히는 수학활동,"
 1. 여러 가지 활동과 영상을 통해 수학에 흥미를 가질 수 있다.
 2. 수학 활동을 통해 수학의 원리와 사고력을 함양할 수 있다."
경주여자중학교,경주시,149,1900,과학,과학체험,"
 1. 과학 체험으로 과학적 원리에 대한 이해력을 높이고 과학적 사고력을 향상시킬 수 있다.
 2. 모둠 활동을 통해 의사소통 능력과 협업 능력을 함양할 수 있다."
경주여자중학교,경주시,149,1900,영어,팝스잉글리시,"
 1. 팝송을 활용하여 다양한 영어 표현과 문화를 이해할 수 있다. 
 2. 팝송 포스터 및 뮤직비디오를 제작하여 협동 능력을 기를 수 있다."
경주중학교,경주시,131,1700,국어,나를 알아가는 글쓰기,"학생들에게 자신의 일상을 계획하고 기록하는 습관을 기르게 하며, 생활 내용과 다양한 주제에 대한 글쓰기를 통해 자신을 알아가는 기회로 삼고 자존감과 가치관을 형성하는 데 목적을 둔다."
경주중학교,경주시,131,1700,국어,인공지능(AI)와 함께하는 국어,"디지털기기를 활용하여 다양한 교육용 콘텐츠와 AI 관련 앱 등을 이해하고, 미래 교육 활동에 사용할 수 있는 티처블머신, 오토드로우, 크롬뮤직랩, 아이바, 브루, 패들랫, 캔바 등을 활용한 자료를 만들어본다."
경주중학교,경주시,131,1700,수학,수학은 생활이다.,딱딱하고 지루한 교과서 안의 수학 문제들을 실생활에 활용할 수 있는 사례를 찾아보고 그 문제를 수학적으로 해결할 수 있다.
경주중학교,경주시,131,1700,수학,활동으로 배우는 수학,"규칙성과 법칙을 이용한 다양한 교구를 체험함으로써 공간지각력, 규칙성과 추측, 창의성과 관련한 수학능력을 높이고 수학에 대한 흥미를 느낄 수 있다."
경주중학교,경주시,131,1700,기술가정,상상 만들기,상상한 것들을 생활 재료를 활용하여 창의적이고 쓸모있는 소품으로 제작을 해보며 DIY 소품 제작의 체험을 통해 의사소통 능력과 협업 능력을 함양할 수 있다.
경주중학교,경주시,131,1700,기술가정,노작노작반,"변화하는 가정생활에서 학생 스스로가 주도적인 삶을 영위하는데 필요한 가치관과 다양한 능력을 기르고, 실생활에 필요한 다양한 체험활동을 통해 건강한 가정생활을 영위할 수 있는 기본 자질을 함양하도록 한다."
경주중학교,경주시,131,1700,영어,영미문학 속의 영어,학생들에게 영국과 미국의 문화 속에 녹아있는 영어를 실생활과 밀접하게 연관된 것을 골라 학습함으로써 영미문화를 간접적으로 체험하게 하고 영어에 더욱 흥미를 느끼도록 한다.
경주중학교,경주시,131,1700,영어,영미권과 한국의 문화 체험 ,"영미권 문화의 축제와 기념일 속의 배경과 의미를 이해하여 문화적 친밀도를 높이고, 영미 문화와 한국문화의 비교를 통해 우리 문화를 더 잘 알고 영어로 표현할 수 있다."
계림중학교,경주시,158,1800,국어,문학으로 떠나는 창작여행,"
? 다양한 문학 작품 감상을 통해 인간의 삶을 총체적으로 이해하는 능력을 기르고 심미적 정서를 함양한다."
